Pattern;Category;IUnderstand-avg;IUnderstand-stddev;IUnderstand-min;IUnderstand-max;IUnderstand-avg-pr;IUnderstand-stddev-pr;IUnderstand-min-pr;IUnderstand-max-pr;IUnderstand-avg-ta;IUnderstand-stddev-ta;IUnderstand-min-ta;IUnderstand-max-ta;IsNew-avg;IsNew-stddev;IsNew-min;IsNew-max;IsNew-avg-pr;IsNew-stddev-pr;IsNew-min-pr;IsNew-max-pr;IsNew-avg-ta;IsNew-stddev-ta;IsNew-min-ta;IsNew-max-ta;AppropriateForRemoteAssessment-avg;AppropriateForRemoteAssessment-stddev;AppropriateForRemoteAssessment-min;AppropriateForRemoteAssessment-max;AppropriateForRemoteAssessment-avg-pr;AppropriateForRemoteAssessment-stddev-pr;AppropriateForRemoteAssessment-min-pr;AppropriateForRemoteAssessment-max-pr;AppropriateForRemoteAssessment-avg-ta;AppropriateForRemoteAssessment-stddev-ta;AppropriateForRemoteAssessment-min-ta;AppropriateForRemoteAssessment-max-ta;AppropriateForClassroom-avg;AppropriateForClassroom-stddev;AppropriateForClassroom-min;AppropriateForClassroom-max;AppropriateForClassroom-avg-pr;AppropriateForClassroom-stddev-pr;AppropriateForClassroom-min-pr;AppropriateForClassroom-max-pr;AppropriateForClassroom-avg-ta;AppropriateForClassroom-stddev-ta;AppropriateForClassroom-min-ta;AppropriateForClassroom-max-ta;PositiveForStudents-avg;PositiveForStudents-stddev;PositiveForStudents-min;PositiveForStudents-max;PositiveForStudents-avg-pr;PositiveForStudents-stddev-pr;PositiveForStudents-min-pr;PositiveForStudents-max-pr;PositiveForStudents-avg-ta;PositiveForStudents-stddev-ta;PositiveForStudents-min-ta;PositiveForStudents-max-ta;WouldRecommend-avg;WouldRecommend-stddev;WouldRecommend-min;WouldRecommend-max;WouldRecommend-avg-pr;WouldRecommend-stddev-pr;WouldRecommend-min-pr;WouldRecommend-max-pr;WouldRecommend-avg-ta;WouldRecommend-stddev-ta;WouldRecommend-min-ta;WouldRecommend-max-ta;Crucial-avg;Crucial-stddev;Crucial-min;Crucial-max;Crucial-avg-pr;Crucial-stddev-pr;Crucial-min-pr;Crucial-max-pr;Crucial-avg-ta;Crucial-stddev-ta;Crucial-min-ta;Crucial-max-ta;HaveUsed-avg;HaveUsed-stddev;HaveUsed-min;HaveUsed-max;HaveUsed-avg-pr;HaveUsed-stddev-pr;HaveUsed-min-pr;HaveUsed-max-pr;HaveUsed-avg-ta;HaveUsed-stddev-ta;HaveUsed-min-ta;HaveUsed-max-ta;IsAntiPattern-avg;IsAntiPattern-stddev;IsAntiPattern-min;IsAntiPattern-max;IsAntiPattern-avg-pr;IsAntiPattern-stddev-pr;IsAntiPattern-min-pr;IsAntiPattern-max-pr;IsAntiPattern-avg-ta;IsAntiPattern-stddev-ta;IsAntiPattern-min-ta;IsAntiPattern-max-ta;Category-avg;Category-stddev;Category-min;Category-max;Category-avg-pr;Category-stddev-pr;Category-min-pr;Category-max-pr;Category-avg-ta;Category-stddev-ta;Category-min-ta;Category-max-ta;
Statistical validator;Preparation;4,48;0,50;4;5;4,43;0,49;4;5;4,50;0,50;4;5;1,94;1,01;1;5;1,79;0,77;1;3;1,96;1,10;1;5;4,61;0,55;3;5;4,57;0,62;3;5;4,54;0,58;3;5;3,94;1,07;2;5;3,71;1,28;2;5;3,92;1,00;2;5;3,70;1,11;1;5;3,79;1,01;1;5;3,54;1,22;1;5;4,12;0,64;3;5;4,00;0,53;3;5;4,21;0,64;3;5;3,64;1,12;1;5;3,21;1,26;1;5;3,92;0,91;2;5;3,12;1,43;1;5;3,14;1,25;1;5;3,21;1,47;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Impro League;Excution;4,12;1,07;1;5;4,21;1,01;1;5;4,17;1,03;2;5;1,94;0,98;1;4;1,43;0,49;1;2;2,13;1,05;1;4;4,61;0,55;3;5;4,71;0,45;4;5;4,54;0,58;3;5;3,58;1,10;1;5;3,64;1,29;1;5;3,63;1,03;2;5;4,42;0,78;2;5;4,43;0,62;3;5;4,38;0,86;2;5;4,00;0,92;1;5;4,00;1,13;1;5;3,88;0,93;1;5;3,97;1,06;1;5;3,86;1,36;1;5;3,96;0,98;1;5;3,33;1,47;1;5;3,36;1,39;1;5;3,21;1,44;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,04;0,20;1;2;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Questions Donor;Preparation;4,55;0,50;4;5;4,50;0,50;4;5;4,58;0,49;4;5;2,67;1,47;1;5;2,71;1,44;1;5;2,58;1,47;1;5;4,06;1,04;1;5;4,21;1,08;1;5;3,96;1,14;1;5;3,97;1,11;1;5;4,14;1,12;1;5;3,88;1,20;1;5;4,18;1,03;1;5;4,21;1,08;1;5;4,13;1,13;1;5;3,55;0,99;1;5;3,71;1,10;1;5;3,46;1,04;1;5;2,42;1,07;1;5;2,57;1,12;1;5;2,38;1,07;1;4;1,36;1,01;1;5;1,57;1,12;1;4;1,42;1,11;1;5;1,06;0,24;1;2;1,07;0,26;1;2;1,08;0,28;1;2;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Continuous Testing;ConceptualDesign;4,48;0,61;3;5;4,64;0,48;4;5;4,46;0,64;3;5;2,00;1,26;1;5;1,93;1,28;1;5;1,92;1,19;1;5;4,39;0,81;2;5;4,29;0,88;2;5;4,50;0,71;3;5;4,21;0,91;2;5;4,07;0,96;2;5;4,25;0,92;2;5;3,45;1,18;1;5;3,71;1,03;1;5;3,25;1,23;1;5;3,91;0,90;2;5;3,79;1,08;2;5;3,92;0,76;2;5;3,39;1,18;1;5;3,36;1,44;1;5;3,50;1,08;1;5;2,79;1,47;1;5;2,86;1,51;1;5;2,79;1,41;1;5;1,09;0,29;1;2;1,14;0,35;1;2;1,04;0,20;1;2;1,06;0,34;1;3;1,00;0,00;1;1;1,08;0,40;1;3;
To-Do List;Communication;4,36;0,59;3;5;4,29;0,70;3;5;4,50;0,50;4;5;2,18;1,14;1;5;2,14;1,12;1;4;2,04;1,10;1;5;4,15;0,86;1;5;4,00;1,00;1;5;4,29;0,68;3;5;3,88;0,84;1;5;3,79;1,01;1;5;3,96;0,68;3;5;4,27;0,62;3;5;4,29;0,59;3;5;4,33;0,62;3;5;3,94;0,69;2;5;3,93;0,80;2;5;4,04;0,61;3;5;3,27;0,99;1;5;3,00;1,07;1;5;3,42;0,95;1;5;2,15;1,08;1;5;1,93;0,80;1;4;2,33;1,14;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Professional Multiplier;Preparation;4,64;0,48;4;5;4,57;0,49;4;5;4,75;0,43;4;5;1,85;1,31;1;5;2,00;1,41;1;5;1,58;1,11;1;5;4,30;0,90;1;5;4,14;1,06;1;5;4,50;0,71;2;5;4,06;0,95;2;5;3,93;0,88;2;5;4,08;0,95;2;5;3,73;1,02;1;5;3,64;0,89;2;5;3,79;1,04;1;5;3,97;0,87;1;5;4,00;0,76;3;5;4,04;0,89;1;5;3,42;1,26;1;5;3,07;1,39;1;5;3,67;1,11;1;5;2,88;1,57;1;5;3,00;1,69;1;5;3,08;1,47;1;5;1,03;0,17;1;2;1,00;0,00;1;1;1,04;0,20;1;2;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Timebox;Excution;4,73;0,45;4;5;4,71;0,45;4;5;4,75;0,43;4;5;1,30;0,63;1;3;1,43;0,73;1;3;1,21;0,50;1;3;4,67;0,77;1;5;4,79;0,41;4;5;4,63;0,86;1;5;3,94;1,25;1;5;3,71;1,33;1;5;4,08;1,19;1;5;2,42;0,99;1;5;2,43;1,12;1;5;2,38;0,95;1;4;4,00;0,92;1;5;4,07;0,96;2;5;4,04;0,89;1;5;3,97;1,19;1;5;3,86;1,36;2;5;4,08;1,04;1;5;4,21;1,27;1;5;4,21;1,21;1;5;4,21;1,29;1;5;1,09;0,29;1;2;1,21;0,41;1;2;1,04;0,20;1;2;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Academic Integrity Appeal;Communication;4,42;0,65;3;5;4,50;0,50;4;5;4,42;0,70;3;5;1,64;0,81;1;4;1,43;0,49;1;2;1,71;0,89;1;4;4,64;0,59;3;5;4,79;0,41;4;5;4,58;0,64;3;5;4,52;0,61;3;5;4,71;0,45;4;5;4,42;0,64;3;5;3,58;0,82;2;5;3,79;0,86;2;5;3,50;0,76;2;5;4,42;0,65;3;5;4,36;0,61;3;5;4,38;0,70;3;5;3,91;1,14;1;5;3,86;1,30;1;5;3,79;1,19;1;5;4,24;1,41;1;5;4,64;0,81;2;5;4,00;1,58;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Results With Delay;Excution;4,70;0,46;4;5;4,64;0,48;4;5;4,75;0,43;4;5;1,73;1,02;1;5;1,57;0,90;1;4;1,75;1,05;1;5;4,55;0,74;2;5;4,43;0,82;2;5;4,63;0,63;3;5;4,27;1,08;1;5;3,93;1,39;1;5;4,25;1,16;1;5;3,39;0,95;1;5;3,21;1,08;1;5;3,50;0,87;1;5;4,15;0,93;1;5;4,00;1,13;1;5;4,21;0,96;1;5;3,61;1,10;1;5;3,21;1,32;1;5;3,71;1,02;1;5;3,70;1,55;1;5;3,57;1,55;1;5;3,79;1,53;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Proactive Teacher;Communication;4,55;0,50;4;5;4,50;0,50;4;5;4,58;0,49;4;5;1,70;0,90;1;5;1,57;0,73;1;3;1,71;0,93;1;5;4,03;1,03;1;5;3,64;1,34;1;5;4,33;0,62;3;5;3,85;1,16;1;5;3,50;1,55;1;5;4,04;0,93;1;5;4,30;0,67;3;5;4,21;0,56;3;5;4,29;0,73;3;5;4,03;0,72;3;5;4,00;0,76;3;5;4,04;0,68;3;5;3,52;1,13;1;5;3,21;1,21;1;5;3,67;1,07;1;5;2,91;1,38;1;5;2,71;1,39;1;5;2,88;1,27;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Colleague Veto;Preparation;4,45;0,70;3;5;4,29;0,80;3;5;4,58;0,64;3;5;2,15;1,37;1;5;2,43;1,55;1;5;1,92;1,19;1;5;4,36;0,77;3;5;4,21;0,77;3;5;4,46;0,76;3;5;4,18;0,83;2;5;4,00;0,93;2;5;4,33;0,75;3;5;3,58;0,92;2;5;3,57;0,90;2;5;3,54;0,87;2;5;4,09;0,75;3;5;3,93;0,70;3;5;4,17;0,75;3;5;3,27;1,14;1;5;2,79;1,26;1;5;3,42;1,00;1;5;2,61;1,61;1;5;2,43;1,55;1;5;2,79;1,58;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Safe Exam Browser;Other;4,52;0,56;3;5;4,57;0,49;4;5;4,54;0,58;3;5;2,09;1,36;1;5;1,64;1,04;1;5;2,21;1,38;1;5;3,33;1,27;1;5;3,07;1,28;1;5;3,54;1,26;1;5;-1,00;0,00;-1;-1;-1,00;0,00;-1;-1;-1,00;0,00;-1;-1;1,85;0,74;1;3;1,64;0,72;1;3;1,92;0,76;1;3;2,21;0,84;1;4;2,14;0,83;1;3;2,21;0,82;1;4;2,00;0,89;1;4;2,00;0,85;1;3;2,04;0,89;1;4;1,12;0,33;1;2;1,07;0,26;1;2;1,13;0,33;1;2;1,73;0,45;1;2;1,79;0,41;1;2;1,71;0,45;1;2;4,61;0,78;3;5;4,57;0,82;3;5;4,54;0,82;3;5;
Criteria List;Excution;4,55;0,66;2;5;4,50;0,82;2;5;4,63;0,48;4;5;1,36;0,69;1;4;1,57;0,82;1;4;1,25;0,52;1;3;4,61;0,55;3;5;4,50;0,63;3;5;4,67;0,47;4;5;4,39;0,65;3;5;4,50;0,63;3;5;4,38;0,63;3;5;4,15;0,70;3;5;4,43;0,62;3;5;4,13;0,73;3;5;4,48;0,56;3;5;4,43;0,62;3;5;4,54;0,50;4;5;3,58;1,02;1;5;3,14;1,25;1;5;3,88;0,67;3;5;3,82;1,42;1;5;3,50;1,55;1;5;4,13;1,20;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Appetizer;Communication;4,48;0,66;2;5;4,57;0,49;4;5;4,50;0,71;2;5;1,79;0,98;1;5;1,50;0,63;1;3;1,83;1,07;1;5;4,45;0,66;3;5;4,64;0,48;4;5;4,42;0,70;3;5;4,39;0,65;3;5;4,64;0,48;4;5;4,33;0,69;3;5;4,48;0,66;3;5;4,57;0,62;3;5;4,54;0,64;3;5;3,91;0,83;2;5;3,86;0,91;2;5;4,08;0,76;3;5;3,09;0,96;1;5;3,00;1,07;1;5;3,17;0,99;1;5;2,79;1,57;1;5;3,36;1,54;1;5;2,75;1,59;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Certification Centre;Other;3,97;1,09;1;5;3,93;1,16;1;5;3,92;1,11;1;5;2,45;1,39;1;5;1,93;1,10;1;5;2,71;1,49;1;5;2,55;1,08;1;5;2,36;1,11;1;4;2,54;1,08;1;5;2,67;1,15;1;5;2,36;1,11;1;4;2,75;1,16;1;5;2,48;0,99;1;4;2,64;0,97;1;4;2,38;0,95;1;4;1,88;0,88;1;4;2,07;0,96;1;4;1,79;0,76;1;3;1,76;0,78;1;4;1,93;0,88;1;4;1,67;0,62;1;3;1,15;0,50;1;3;1,14;0,52;1;3;1,13;0,44;1;3;1,97;0,17;1;2;1,93;0,26;1;2;2,00;0,00;2;2;4,94;0,34;3;5;5,00;0,00;5;5;4,92;0,40;3;5;
Big Brother;Other;4,61;0,49;4;5;4,57;0,49;4;5;4,67;0,47;4;5;1,73;1,02;1;5;1,50;0,63;1;3;1,79;1,12;1;5;3,15;1,35;1;5;3,50;1,18;1;5;3,21;1,41;1;5;-1,00;0,00;-1;-1;-1,00;0,00;-1;-1;-1,00;0,00;-1;-1;1,76;0,85;1;4;1,71;0,96;1;4;1,83;0,90;1;4;2,21;1,01;1;5;2,50;1,12;1;5;2,17;1,03;1;5;2,21;0,98;1;4;2,50;0,91;1;4;2,17;0,99;1;4;1,64;1,01;1;5;1,71;1,22;1;5;1,63;0,90;1;4;1,79;0,41;1;2;1,71;0,45;1;2;1,79;0,41;1;2;4,76;0,65;3;5;4,71;0,70;3;5;4,67;0,75;3;5;
Firewall;Communication;3,79;1,32;1;5;3,50;1,35;1;5;3,92;1,32;1;5;2,61;1,35;1;5;2,43;1,35;1;5;2,67;1,37;1;5;3,88;0,98;1;5;3,57;1,12;1;5;4,04;0,84;3;5;3,79;0,91;1;5;3,64;1,11;1;5;3,92;0,76;3;5;3,85;1,10;1;5;3,64;1,23;1;5;3,96;1,02;2;5;3,42;0,89;1;5;3,21;1,08;1;5;3,54;0,76;2;5;2,82;0,94;1;5;2,36;0,81;1;3;3,04;0,89;1;5;2,21;1,34;1;5;2,43;1,40;1;5;2,04;1,24;1;5;1,09;0,29;1;2;1,21;0,41;1;2;1,08;0,28;1;2;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Emergency Call alias 911;Communication;4,64;0,48;4;5;4,57;0,49;4;5;4,67;0,47;4;5;1,61;0,81;1;4;1,43;0,49;1;2;1,67;0,90;1;4;4,61;0,60;3;5;4,64;0,61;3;5;4,58;0,64;3;5;3,85;1,26;1;5;4,07;1,22;1;5;3,63;1,35;1;5;4,52;0,66;3;5;4,57;0,62;3;5;4,58;0,64;3;5;4,21;0,91;1;5;4,14;1,12;1;5;4,17;0,94;1;5;3,94;1,20;1;5;3,86;1,41;1;5;4,00;1,15;1;5;3,94;1,39;1;5;3,86;1,36;2;5;3,88;1,42;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,04;0,20;1;2;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Self-Assessment;Excution;4,30;0,72;2;5;4,21;0,67;3;5;4,38;0,70;2;5;2,24;1,21;1;5;1,93;0,96;1;4;2,29;1,24;1;5;4,09;0,83;1;5;3,93;0,96;1;5;4,08;0,91;1;5;4,06;0,81;1;5;3,93;0,96;1;5;4,08;0,91;1;5;4,36;0,69;3;5;4,36;0,61;3;5;4,38;0,75;3;5;3,61;0,89;1;5;3,64;1,11;1;5;3,58;0,86;1;5;2,73;0,79;1;4;2,71;0,88;1;4;2,71;0,79;1;4;1,79;0,95;1;4;1,93;0,88;1;4;1,75;0,92;1;4;1,06;0,24;1;2;1,14;0,35;1;2;1,04;0,20;1;2;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Time Reminder;Communication;4,55;0,56;3;5;4,43;0,62;3;5;4,67;0,47;4;5;1,48;0,61;1;3;1,50;0,63;1;3;1,42;0,57;1;3;4,61;0,55;3;5;4,43;0,62;3;5;4,75;0,43;4;5;4,52;0,74;2;5;4,14;0,91;2;5;4,71;0,54;3;5;4,27;0,75;3;5;4,14;0,74;3;5;4,46;0,71;3;5;4,30;0,72;3;5;4,07;0,80;3;5;4,50;0,58;3;5;3,64;0,88;2;5;3,43;0,82;2;5;3,71;0,84;2;5;3,55;1,60;1;5;3,21;1,61;1;5;3,83;1,46;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Member Channel;Communication;4,39;0,69;2;5;4,21;0,77;2;5;4,54;0,58;3;5;2,06;1,01;1;5;1,64;0,48;1;2;2,17;1,14;1;5;3,64;1,12;1;5;3,64;1,23;1;5;3,71;1,02;1;5;2,36;0,98;1;4;2,14;1,06;1;4;2,33;0,90;1;4;4,06;0,78;3;5;4,14;0,74;3;5;4,08;0,81;3;5;3,48;0,78;2;5;3,50;0,82;2;5;3,63;0,81;2;5;2,88;1,12;1;5;2,71;0,96;1;4;2,96;1,14;1;5;1,61;0,89;1;5;1,64;1,04;1;5;1,71;0,98;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Randomized Order;Excution;4,88;0,33;4;5;4,93;0,26;4;5;4,88;0,33;4;5;1,39;0,89;1;5;1,29;0,80;1;4;1,38;0,86;1;5;4,73;0,75;1;5;4,93;0,26;4;5;4,67;0,85;1;5;3,42;1,26;1;5;3,21;1,08;1;5;3,33;1,34;1;5;2,48;0,74;1;4;2,50;0,73;1;4;2,38;0,75;1;4;4,36;0,64;3;5;4,21;0,67;3;5;4,50;0,58;3;5;4,36;0,81;2;5;4,21;0,94;2;5;4,42;0,81;2;5;4,61;1,07;1;5;4,79;0,77;2;5;4,58;1,11;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Personal Defence;Excution;4,82;0,39;4;5;4,79;0,41;4;5;4,83;0,37;4;5;1,27;0,75;1;5;1,21;0,41;1;2;1,29;0,84;1;5;4,52;0,70;2;5;4,21;0,86;2;5;4,63;0,56;3;5;4,42;0,74;2;5;4,00;0,85;2;5;4,58;0,57;3;5;3,48;0,86;1;5;3,36;0,89;1;4;3,50;0,91;1;5;4,09;0,90;1;5;3,79;1,01;1;5;4,13;0,97;1;5;3,67;1,25;1;5;3,29;1,28;1;5;3,79;1,19;1;5;3,15;1,62;1;5;2,93;1,58;1;5;3,29;1,59;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
