Pattern;Category;IUnderstand-avg;IUnderstand-stddev;IUnderstand-min;IUnderstand-max;IUnderstand-avg-pr;IUnderstand-stddev-pr;IUnderstand-min-pr;IUnderstand-max-pr;IUnderstand-avg-ta;IUnderstand-stddev-ta;IUnderstand-min-ta;IUnderstand-max-ta;IsNew-avg;IsNew-stddev;IsNew-min;IsNew-max;IsNew-avg-pr;IsNew-stddev-pr;IsNew-min-pr;IsNew-max-pr;IsNew-avg-ta;IsNew-stddev-ta;IsNew-min-ta;IsNew-max-ta;AppropriateForRemoteAssessment-avg;AppropriateForRemoteAssessment-stddev;AppropriateForRemoteAssessment-min;AppropriateForRemoteAssessment-max;AppropriateForRemoteAssessment-avg-pr;AppropriateForRemoteAssessment-stddev-pr;AppropriateForRemoteAssessment-min-pr;AppropriateForRemoteAssessment-max-pr;AppropriateForRemoteAssessment-avg-ta;AppropriateForRemoteAssessment-stddev-ta;AppropriateForRemoteAssessment-min-ta;AppropriateForRemoteAssessment-max-ta;AppropriateForClassroom-avg;AppropriateForClassroom-stddev;AppropriateForClassroom-min;AppropriateForClassroom-max;AppropriateForClassroom-avg-pr;AppropriateForClassroom-stddev-pr;AppropriateForClassroom-min-pr;AppropriateForClassroom-max-pr;AppropriateForClassroom-avg-ta;AppropriateForClassroom-stddev-ta;AppropriateForClassroom-min-ta;AppropriateForClassroom-max-ta;PositiveForStudents-avg;PositiveForStudents-stddev;PositiveForStudents-min;PositiveForStudents-max;PositiveForStudents-avg-pr;PositiveForStudents-stddev-pr;PositiveForStudents-min-pr;PositiveForStudents-max-pr;PositiveForStudents-avg-ta;PositiveForStudents-stddev-ta;PositiveForStudents-min-ta;PositiveForStudents-max-ta;WouldRecommend-avg;WouldRecommend-stddev;WouldRecommend-min;WouldRecommend-max;WouldRecommend-avg-pr;WouldRecommend-stddev-pr;WouldRecommend-min-pr;WouldRecommend-max-pr;WouldRecommend-avg-ta;WouldRecommend-stddev-ta;WouldRecommend-min-ta;WouldRecommend-max-ta;Crucial-avg;Crucial-stddev;Crucial-min;Crucial-max;Crucial-avg-pr;Crucial-stddev-pr;Crucial-min-pr;Crucial-max-pr;Crucial-avg-ta;Crucial-stddev-ta;Crucial-min-ta;Crucial-max-ta;HaveUsed-avg;HaveUsed-stddev;HaveUsed-min;HaveUsed-max;HaveUsed-avg-pr;HaveUsed-stddev-pr;HaveUsed-min-pr;HaveUsed-max-pr;HaveUsed-avg-ta;HaveUsed-stddev-ta;HaveUsed-min-ta;HaveUsed-max-ta;IsAntiPattern-avg;IsAntiPattern-stddev;IsAntiPattern-min;IsAntiPattern-max;IsAntiPattern-avg-pr;IsAntiPattern-stddev-pr;IsAntiPattern-min-pr;IsAntiPattern-max-pr;IsAntiPattern-avg-ta;IsAntiPattern-stddev-ta;IsAntiPattern-min-ta;IsAntiPattern-max-ta;Category-avg;Category-stddev;Category-min;Category-max;Category-avg-pr;Category-stddev-pr;Category-min-pr;Category-max-pr;Category-avg-ta;Category-stddev-ta;Category-min-ta;Category-max-ta;
Example Questions;Preparation;4,48;0,66;2;5;4,43;0,82;2;5;4,50;0,71;2;5;2,03;1,14;1;5;1,79;1,21;1;5;2,13;1,09;1;5;4,09;0,93;2;5;4,14;0,83;3;5;4,08;1,00;2;5;3,91;1,14;1;5;3,86;1,25;1;5;3,92;1,19;1;5;4,30;0,94;1;5;4,07;1,03;1;5;4,33;1,07;1;5;3,88;0,91;1;5;3,86;1,06;1;5;3,88;1,01;1;5;3,00;1,13;1;5;2,86;1,25;1;5;3,17;1,11;1;5;2,39;1,32;1;5;2,86;1,51;1;5;2,21;1,19;1;4;1,03;0,17;1;2;1,07;0,26;1;2;1,04;0,20;1;2;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Colleague Bloom;ConceptualDesign;3,48;1,02;1;5;4,07;0,70;2;5;3,25;0,97;1;4;3,24;1,41;1;5;2,43;1,29;1;5;3,58;1,38;1;5;3,76;0,82;2;5;4,00;0,76;2;5;3,75;0,83;2;5;3,76;0,82;2;5;4,00;0,76;2;5;3,75;0,83;2;5;3,24;0,89;1;5;3,29;0,96;1;5;3,17;0,90;1;5;3,45;0,82;1;5;3,79;0,86;1;5;3,33;0,69;1;4;2,73;1,08;1;5;2,64;1,34;1;5;2,71;0,98;1;4;2,24;1,48;1;5;3,21;1,42;1;5;1,79;1,26;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;
Stepwise Apprach;ConceptualDesign;4,61;0,49;4;5;4,64;0,48;4;5;4,67;0,47;4;5;1,79;1,17;1;5;1,64;1,04;1;4;1,71;1,17;1;5;4,64;0,48;4;5;4,50;0,50;4;5;4,71;0,45;4;5;3,45;1,23;1;5;3,21;1,32;1;5;3,38;1,28;1;5;3,82;0,76;2;5;3,57;0,73;2;5;3,88;0,78;2;5;4,21;0,69;3;5;4,29;0,70;3;5;4,25;0,66;3;5;3,48;1,05;1;5;3,00;1,13;1;5;3,67;0,90;2;5;3,03;1,68;1;5;3,36;1,67;1;5;3,04;1,62;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;1,18;0,57;1;3;1,29;0,70;1;3;1,17;0,55;1;3;
24/7 alias Permanent Availability;Other;4,61;0,49;4;5;4,57;0,49;4;5;4,67;0,47;4;5;1,64;0,85;1;4;1,50;0,63;1;3;1,63;0,90;1;4;2,48;1,23;1;5;1,71;0,70;1;3;2,83;1,21;1;5;2,15;1,05;1;5;1,57;0,73;1;3;2,38;1,07;1;5;4,33;0,88;2;5;4,43;0,90;2;5;4,38;0,81;2;5;1,73;0,79;1;4;1,64;0,61;1;3;1,75;0,83;1;4;1,94;0,98;1;4;1,71;0,70;1;3;2,08;1,04;1;4;2,70;1,55;1;5;2,29;1,39;1;5;3,08;1,55;1;5;1,94;0,24;1;2;1,93;0,26;1;2;1,92;0,28;1;2;4,91;0,38;3;5;5,00;0,00;5;5;4,88;0,44;3;5;
Mathematical Validator;Preparation;4,48;0,50;4;5;4,43;0,49;4;5;4,50;0,50;4;5;1,97;1,22;1;5;1,86;0,99;1;4;2,04;1,27;1;5;4,36;0,85;1;5;4,21;1,08;1;5;4,38;0,90;1;5;3,70;1,00;1;5;3,36;1,17;1;5;3,83;0,94;1;5;3,33;1,22;1;5;3,14;1,36;1;5;3,46;1,15;1;5;3,58;1,02;1;5;3,21;1,15;1;5;3,75;0,97;1;5;3,24;1,16;1;5;2,79;1,26;1;5;3,46;1,04;1;5;2,82;1,60;1;5;2,71;1,62;1;5;2,79;1,63;1;5;1,06;0,24;1;2;1,07;0,26;1;2;1,04;0,20;1;2;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Objective Assessor;Excution;4,58;0,49;4;5;4,64;0,48;4;5;4,58;0,49;4;5;1,79;0,91;1;4;1,57;0,73;1;3;1,88;0,97;1;4;4,52;0,66;3;5;4,57;0,62;3;5;4,54;0,64;3;5;4,00;0,92;2;5;3,93;0,96;2;5;3,92;0,95;2;5;4,39;0,74;2;5;4,50;0,73;3;5;4,42;0,70;2;5;4,00;0,82;2;5;4,21;0,77;3;5;3,92;0,81;2;5;3,09;1,26;1;5;2,93;1,53;1;5;3,13;1,13;1;5;2,79;1,59;1;5;3,29;1,79;1;5;2,42;1,35;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Game Rules;Communication;4,61;0,65;2;5;4,64;0,48;4;5;4,63;0,70;2;5;1,39;0,60;1;3;1,29;0,45;1;2;1,42;0,64;1;3;4,70;0,52;3;5;4,79;0,41;4;5;4,71;0,54;3;5;4,64;0,54;3;5;4,71;0,45;4;5;4,63;0,56;3;5;4,52;0,66;3;5;4,64;0,48;4;5;4,50;0,71;3;5;4,67;0,59;3;5;4,86;0,35;4;5;4,63;0,63;3;5;4,15;0,93;2;5;4,07;1,03;2;5;4,17;0,85;2;5;4,61;1,07;1;5;5,00;0,00;5;5;4,46;1,22;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Expert Validator;Preparation;4,70;0,46;4;5;4,57;0,49;4;5;4,79;0,41;4;5;1,67;1,01;1;5;1,79;0,77;1;3;1,58;1,08;1;5;4,52;0,78;2;5;4,43;0,90;2;5;4,54;0,71;3;5;4,33;0,88;2;5;4,14;1,06;2;5;4,38;0,75;3;5;3,42;0,99;1;5;3,50;0,91;1;5;3,42;0,95;1;5;4,30;0,72;3;5;4,14;0,74;3;5;4,38;0,70;3;5;3,52;1,28;1;5;3,07;1,39;1;5;3,58;1,29;1;5;3,21;1,43;1;5;2,79;1,32;1;5;3,42;1,35;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;2,03;0,17;2;3;2,07;0,26;2;3;2,04;0,20;2;3;
Hidden Validator;Preparation;4,27;0,57;3;5;4,14;0,64;3;5;4,38;0,56;3;5;2,48;1,13;1;5;2,43;1,29;1;5;2,38;1,07;1;5;4,33;0,53;3;5;4,21;0,56;3;5;4,38;0,48;4;5;4,03;0,80;1;5;3,86;0,91;1;5;4,04;0,89;1;5;4,09;0,87;1;5;4,00;1,07;1;5;4,08;0,91;1;5;3,94;0,81;1;5;3,86;0,99;1;5;3,96;0,89;1;5;3,30;1,00;1;5;3,00;1,20;1;5;3,38;0,95;1;5;2,00;1,15;1;5;2,00;1,31;1;5;2,08;1,11;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;2,06;0,34;2;4;2,14;0,52;2;4;2,00;0,00;2;2;
Eurosong;Excution;4,42;0,70;2;5;4,36;0,81;2;5;4,42;0,76;2;5;2,48;1,37;1;5;2,43;1,35;1;5;2,50;1,47;1;5;3,70;1,06;1;5;3,43;1,12;2;5;3,75;1,05;1;5;3,67;1,03;1;5;3,57;0,98;2;5;3,71;1,06;1;5;3,91;1,03;1;5;4,21;0,77;3;5;3,88;1,09;1;5;3,33;0,91;1;5;3,43;0,73;2;5;3,33;1,03;1;5;2,39;0,98;1;4;2,50;1,12;1;4;2,38;0,99;1;4;1,15;0,36;1;2;1,14;0,35;1;2;1,21;0,41;1;2;1,09;0,29;1;2;1,14;0,35;1;2;1,08;0,28;1;2;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Bonus Points;Excution;4,70;0,46;4;5;4,71;0,45;4;5;4,75;0,43;4;5;1,30;0,46;1;2;1,21;0,41;1;2;1,29;0,45;1;2;4,58;0,65;3;5;4,71;0,59;3;5;4,54;0,64;3;5;4,55;0,66;3;5;4,71;0,59;3;5;4,50;0,65;3;5;4,58;0,65;3;5;4,43;0,82;3;5;4,75;0,43;4;5;4,21;0,59;3;5;4,14;0,52;3;5;4,29;0,61;3;5;2,82;0,97;1;5;2,57;0,98;1;4;2,96;0,89;1;5;2,85;1,21;1;5;3,14;1,12;2;5;2,92;1,26;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Theme Variants;Preparation;4,52;0,56;3;5;4,36;0,61;3;5;4,58;0,57;3;5;1,91;1,08;1;5;1,79;0,67;1;3;1,96;1,21;1;5;4,52;0,56;3;5;4,43;0,49;4;5;4,54;0,58;3;5;4,06;0,92;2;5;3,64;0,89;2;5;4,08;1,00;2;5;2,91;0,75;1;4;3,00;0,93;1;4;2,75;0,72;1;4;3,76;0,82;1;5;3,57;0,90;1;5;3,71;0,89;1;5;3,36;1,20;1;5;3,00;1,25;1;5;3,50;1,19;1;5;2,73;1,50;1;5;2,93;1,39;1;5;2,58;1,58;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;
Expert-Level;ConceptualDesign;3,97;0,72;3;5;4,00;0,65;3;5;3,92;0,70;3;5;2,85;1,21;1;5;2,79;1,15;1;5;2,83;1,18;1;5;4,03;0,76;2;5;4,21;0,56;3;5;3,96;0,79;2;5;3,82;0,83;2;5;3,86;0,83;2;5;3,83;0,80;2;5;3,03;0,90;1;5;3,21;0,86;1;5;2,88;0,93;1;5;3,42;0,82;2;5;3,43;0,90;2;5;3,38;0,75;2;5;2,73;0,93;1;5;2,64;0,97;1;5;2,67;0,90;1;5;1,82;1,19;1;5;2,07;1,33;1;5;1,71;0,98;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;1,03;0,17;1;2;1,07;0,26;1;2;1,04;0,20;1;2;
Identity Guarantee;Excution;4,52;0,56;3;5;4,57;0,49;4;5;4,54;0,58;3;5;2,06;1,13;1;5;1,86;0,91;1;4;2,13;1,24;1;5;4,52;0,66;3;5;4,64;0,61;3;5;4,42;0,70;3;5;3,67;1,20;1;5;3,93;0,96;2;5;3,67;1,34;1;5;2,76;0,78;1;5;2,93;0,88;1;5;2,71;0,68;1;4;3,76;0,82;1;5;3,71;1,03;1;5;3,83;0,69;3;5;3,55;1,10;1;5;3,43;1,12;1;5;3,63;1,11;1;5;2,30;1,31;1;5;2,43;1,35;1;5;2,42;1,38;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Full-Time Job;Other;3,97;1,19;1;5;3,79;1,21;1;5;4,21;1,08;1;5;2,24;1,37;1;5;2,14;1,25;1;5;2,08;1,38;1;5;2,52;1,40;1;5;2,00;1,07;1;5;2,75;1,51;1;5;2,21;1,09;1;5;1,93;0,88;1;4;2,33;1,18;1;5;3,82;1,40;1;5;3,93;1,33;1;5;3,92;1,35;1;5;1,70;0,80;1;3;1,50;0,63;1;3;1,79;0,82;1;3;1,88;0,95;1;4;1,57;0,73;1;3;2,04;0,98;1;4;2,27;1,52;1;5;1,79;1,08;1;5;2,67;1,60;1;5;2,00;0,00;2;2;2,00;0,00;2;2;2,00;0,00;2;2;4,91;0,38;3;5;5,00;0,00;5;5;4,88;0,44;3;5;
Open Book;ConceptualDesign;4,70;0,46;4;5;4,64;0,48;4;5;4,75;0,43;4;5;1,61;0,89;1;5;1,50;0,73;1;3;1,58;0,91;1;5;4,03;0,90;1;5;4,07;0,70;3;5;4,04;0,98;1;5;3,67;1,15;2;5;3,57;1,12;2;5;3,63;1,15;2;5;4,09;0,83;2;5;3,71;0,96;2;5;4,29;0,73;2;5;3,82;0,97;2;5;3,79;0,94;2;5;3,88;1,01;2;5;3,09;1,33;1;5;3,07;1,39;1;5;3,17;1,31;1;5;2,88;1,61;1;5;3,43;1,64;1;5;2,63;1,52;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;
Student Proxy;Communication;4,42;0,74;2;5;4,07;0,88;2;5;4,58;0,70;2;5;2,27;1,26;1;5;2,43;1,29;1;5;2,17;1,28;1;5;3,85;1,26;1;5;3,36;1,44;1;5;4,25;0,92;2;5;3,67;1,03;1;5;3,43;1,29;1;5;3,83;0,80;2;5;4,18;0,94;1;5;3,86;1,12;1;5;4,46;0,64;3;5;3,61;0,85;1;5;3,50;0,98;1;5;3,79;0,76;2;5;3,15;1,10;1;5;2,71;1,16;1;4;3,50;0,91;2;5;1,97;1,09;1;5;2,00;1,20;1;5;2,17;1,18;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Accessibility Adjustments;Excution;4,73;0,45;4;5;4,71;0,45;4;5;4,75;0,43;4;5;1,30;0,46;1;2;1,29;0,45;1;2;1,29;0,45;1;2;4,61;0,69;2;5;4,50;0,82;2;5;4,63;0,75;2;5;4,64;0,64;2;5;4,50;0,82;2;5;4,67;0,69;2;5;4,39;0,85;1;5;4,21;1,01;1;5;4,38;0,95;1;5;4,27;0,66;3;5;4,21;0,67;3;5;4,33;0,62;3;5;3,67;1,09;1;5;3,71;1,03;1;5;3,50;1,15;1;5;3,61;1,48;1;5;3,64;1,29;2;5;3,58;1,55;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;2,94;0,34;1;3;3,00;0,00;3;3;2,92;0,40;1;3;
Number Draw;Excution;4,55;0,50;4;5;4,50;0,50;4;5;4,58;0,49;4;5;2,09;1,19;1;5;1,86;0,99;1;4;2,17;1,28;1;5;4,03;0,90;2;5;4,29;0,70;3;5;3,96;0,98;2;5;4,03;0,90;2;5;4,14;0,91;2;5;4,04;0,89;2;5;3,06;1,13;1;5;3,29;1,28;1;5;2,88;1,09;1;5;3,18;0,83;1;5;3,50;0,63;3;5;3,08;0,91;1;5;2,39;0,98;1;5;2,50;0,91;1;4;2,38;1,03;1;5;1,48;0,82;1;4;1,71;0,88;1;4;1,42;0,76;1;4;1,03;0,17;1;2;1,00;0,00;1;1;1,04;0,20;1;2;3,00;0,00;3;3;3,00;0,00;3;3;3,00;0,00;3;3;
Student Achievement Portfolio;ConceptualDesign;4,45;0,56;3;5;4,57;0,49;4;5;4,42;0,57;3;5;1,91;0,75;1;4;1,86;0,74;1;3;1,92;0,76;1;4;4,27;0,79;2;5;4,36;0,48;4;5;4,25;0,88;2;5;3,88;1,04;1;5;3,79;1,26;1;5;3,92;1,00;1;5;3,61;1,15;1;5;3,50;1,05;2;5;3,58;1,22;1;5;3,70;0,76;2;5;3,71;0,70;3;5;3,63;0,75;2;5;3,00;1,13;1;5;2,79;1,01;1;5;3,13;1,20;1;5;2,12;1,27;1;5;1,86;1,19;1;5;2,17;1,21;1;5;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;1,27;0,90;1;5;1,50;1,24;1;5;1,21;0,71;1;4;
Dress Rehearsal;Preparation;4,55;0,70;2;5;4,29;0,88;2;5;4,71;0,54;3;5;2,55;1,37;1;5;2,50;1,30;1;4;2,54;1,41;1;5;4,21;1,04;1;5;3,93;1,03;2;5;4,38;0,99;1;5;2,48;1,18;1;5;2,14;0,99;1;4;2,54;1,26;1;5;4,00;1,02;1;5;3,57;1,18;1;5;4,21;1,00;1;5;3,88;0,88;1;5;3,50;0,98;1;5;3,96;0,93;1;5;3,76;0,92;1;5;3,21;0,94;1;5;3,92;0,91;1;5;1,79;1,15;1;5;1,50;0,91;1;4;1,83;1,18;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,04;0,20;1;2;2,03;0,17;2;3;2,07;0,26;2;3;2,00;0,00;2;2;
Petathlon;ConceptualDesign;4,76;0,43;4;5;4,86;0,35;4;5;4,75;0,43;4;5;1,24;0,43;1;2;1,29;0,45;1;2;1,17;0,37;1;2;4,70;0,63;2;5;4,50;0,82;2;5;4,83;0,37;4;5;4,55;0,70;2;5;4,29;0,88;2;5;4,71;0,45;4;5;4,09;0,96;1;5;3,64;1,11;1;5;4,21;1,04;1;5;4,45;0,70;2;5;4,21;0,86;2;5;4,54;0,58;3;5;3,91;1,29;1;5;3,57;1,45;1;5;4,13;1,20;1;5;4,06;1,32;1;5;3,71;1,39;2;5;4,29;1,21;1;5;1,03;0,17;1;2;1,07;0,26;1;2;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;1,00;0,00;1;1;
Third Shift;Excution;4,67;0,47;4;5;4,64;0,48;4;5;4,71;0,45;4;5;1,48;0,89;1;5;1,79;1,21;1;5;1,33;0,69;1;4;3,91;1,24;1;5;3,36;1,44;1;5;4,04;1,21;1;5;2,67;1,15;1;5;2,43;1,29;1;5;2,67;1,07;1;4;4,64;0,59;3;5;4,50;0,63;3;5;4,67;0,62;3;5;3,21;1,15;1;5;2,79;1,26;1;5;3,29;1,02;1;5;3,18;1,27;1;5;2,43;1,18;1;5;3,50;1,12;1;5;3,67;1,47;1;5;3,21;1,42;1;5;3,88;1,39;1;5;1,27;0,45;1;2;1,50;0,50;1;2;1,21;0,41;1;2;3,03;0,17;3;4;3,00;0,00;3;3;3,04;0,20;3;4;
Innovator;ConceptualDesign;4,09;0,67;2;5;4,07;0,88;2;5;4,17;0,47;3;5;2,73;1,19;1;5;2,57;1,35;1;5;2,75;1,13;1;5;4,21;0,77;2;5;4,43;0,62;3;5;4,13;0,83;2;5;3,61;1,18;1;5;3,43;1,29;1;5;3,42;1,22;1;5;4,12;0,84;1;5;3,93;1,03;1;5;4,13;0,88;1;5;3,76;0,89;1;5;3,86;1,06;1;5;3,63;0,86;1;5;2,88;1,25;1;5;3,14;1,41;1;5;2,83;1,21;1;5;2,03;1,17;1;5;2,50;1,40;1;5;1,79;0,87;1;4;1,03;0,17;1;2;1,07;0,26;1;2;1,04;0,20;1;2;1,12;0,69;1;5;1,29;1,03;1;5;1,00;0,00;1;1;
ConceptualDesign;null;4,32;0,76;1;5;4,44;0,67;2;5;4,30;0,78;1;5;2,17;1,26;1;5;2,00;1,16;1;5;2,18;1,29;1;5;4,25;0,81;1;5;4,29;0,70;2;5;4,27;0,84;1;5;3,87;1,05;1;5;3,78;1,12;1;5;3,86;1,07;1;5;3,68;1,03;1;5;3,57;1,00;1;5;3,67;1,10;1;5;3,84;0,89;1;5;3,86;0,93;1;5;3,82;0,86;1;5;3,15;1,22;1;5;3,03;1,32;1;5;3,22;1,21;1;5;2,62;1,57;1;5;2,88;1,58;1;5;2,53;1,52;1;5;1,03;0,16;1;2;1,05;0,23;1;2;1,01;0,10;1;2;1,08;0,48;1;5;1,14;0,65;1;5;1,06;0,36;1;4;
Preparation;null;4,51;0,58;2;5;4,40;0,65;2;5;4,59;0,56;2;5;2,12;1,26;1;5;2,11;1,23;1;5;2,07;1,25;1;5;4,34;0,83;1;5;4,25;0,89;1;5;4,38;0,83;1;5;3,87;1,11;1;5;3,68;1,20;1;5;3,90;1,12;1;5;3,72;1,08;1;5;3,65;1,11;1;5;3,73;1,11;1;5;3,91;0,88;1;5;3,78;0,95;1;5;3,95;0,92;1;5;3,29;1,19;1;5;2,96;1,25;1;5;3,44;1,14;1;5;2,49;1,51;1;5;2,49;1,50;1;5;2,54;1,51;1;5;1,02;0,14;1;2;1,03;0,17;1;2;1,03;0,16;1;2;2,01;0,13;2;4;2,03;0,21;2;4;2,00;0,06;2;3;
Excution;null;4,59;0,61;1;5;4,58;0,62;1;5;4,62;0,59;2;5;1,70;1,02;1;5;1,60;0,91;1;5;1,71;1,06;1;5;4,40;0,85;1;5;4,36;0,92;1;5;4,41;0,85;1;5;3,95;1,10;1;5;3,87;1,17;1;5;3,96;1,12;1;5;3,75;1,14;1;5;3,77;1,15;1;5;3,74;1,17;1;5;3,90;0,93;1;5;3,87;1,00;1;5;3,93;0,94;1;5;3,35;1,22;1;5;3,17;1,30;1;5;3,43;1,18;1;5;3,03;1,64;1;5;3,06;1,59;1;5;3,06;1,64;1;5;1,05;0,21;1;2;1,09;0,28;1;2;1,03;0,18;1;2;3,00;0,10;1;4;3,00;0,00;3;3;3,00;0,12;1;4;
Communication;null;4,42;0,76;1;5;4,33;0,80;1;5;4,50;0,74;1;5;1,87;1,05;1;5;1,74;0,93;1;5;1,88;1,08;1;5;4,25;0,93;1;5;4,15;1,09;1;5;4,37;0,78;1;5;3,95;1,10;1;5;3,88;1,26;1;5;3,98;1,04;1;5;4,20;0,83;1;5;4,19;0,86;1;5;4,27;0,80;2;5;4,00;0,86;1;5;3,94;0,96;1;5;4,08;0,80;1;5;3,44;1,14;1;5;3,22;1,23;1;5;3,54;1,08;1;5;3,00;1,63;1;5;3,08;1,63;1;5;3,00;1,61;1;5;1,02;0,15;1;2;1,06;0,23;1;2;1,01;0,11;1;2;4,00;0,00;4;4;4,00;0,00;4;4;4,00;0,00;4;4;
Other;null;4,33;0,88;1;5;4,29;0,91;1;5;4,40;0,85;1;5;2,03;1,26;1;5;1,74;1,00;1;5;2,08;1,33;1;5;2,81;1,32;1;5;2,53;1,27;1;5;2,98;1,35;1;5;1,01;1,85;-1;5;0,77;1,63;-1;4;1,09;1,93;-1;5;2,85;1,45;1;5;2,87;1,51;1;5;2,88;1,44;1;5;1,95;0,90;1;5;1,97;0,93;1;5;1,94;0,88;1;5;1,96;0,93;1;4;1,94;0,88;1;4;2,00;0,93;1;4;1,78;1,27;1;5;1,60;1,09;1;5;1,93;1,37;1;5;1,88;0,32;1;2;1,87;0,33;1;2;1,88;0,32;1;2;4,82;0,55;3;5;4,86;0,52;3;5;4,78;0,61;3;5;
